budget,genres,popularity,revenue,runtime,vote_average,vote_count,director,release_month,release_DOW,log_revenue,log_budget,has_homepage
237.0,1,150.437577,2787.965087,162.0,7.2,11800,525,10.0,0.0,7.933425869442289,5.472270673671475,1
300.0,2,139.082615,961.0,169.0,6.9,4500,454,1.0,2.0,6.8690144506657065,5.707110264748875,1
245.0,1,107.376788,880.674609,148.0,6.3,4466,1160,1.0,2.0,6.781823063901296,5.5053315359323625,1
250.0,1,112.31295,1084.939099,165.0,7.6,9106,206,1.0,2.0,6.990200420652559,5.5254529391317835,1
260.0,1,43.926995,284.1391,132.0,6.1,2124,56,7.0,1.0,5.6529771313765815,5.564520407322694,1
258.0,9,115.699814,890.871626,139.0,5.9,3576,1163,1.0,4.0,6.7933222051826,5.556828061699537,1
260.0,3,48.681969,591.794936,100.0,7.4,3330,154,1.0,2.0,6.384848531435268,5.564520407322694,1
280.0,1,134.279229,1405.403694,141.0,7.3,6767,702,1.0,2.0,7.248791153491741,5.638354669333745,1
250.0,2,98.885637,933.959197,153.0,7.4,5293,305,7.0,1.0,6.84050288876426,5.5254529391317835,1
250.0,1,155.790452,873.260194,151.0,5.7,7004,1400,1.0,2.0,6.773378036155745,5.5254529391317835,1
270.0,2,57.925623,391.081192,154.0,5.4,1400,152,1.0,2.0,5.971468940792549,5.602118820879701,1
200.0,2,107.928811,586.090727,106.0,6.1,2965,806,1.0,2.0,6.3751793683618585,5.303304908059076,1
200.0,2,145.847379,1065.659812,151.0,7.0,5246,454,1.0,2.0,6.97228737384906,5.303304908059076,1
255.0,1,49.046956,89.28991,149.0,5.9,2311,454,3.0,3.0,4.503025715530764,5.545177444479562,1
225.0,1,99.398009,662.845518,143.0,6.5,6359,1400,12.0,4.0,6.498049468793925,5.420534999272286,1
225.0,2,53.978602,419.651413,150.0,6.3,1630,46,1.0,2.0,6.041804493078308,5.420534999272286,0
220.0,16,144.448633,1519.55791,143.0,7.4,11776,702,1.0,2.0,7.32683259254803,5.3981627015177525,1
380.0,2,135.413856,1045.713802,136.0,6.4,4948,1091,1.0,2.0,6.953410822978162,5.942799375126701,1
225.0,1,52.035179,624.026776,106.0,6.2,4160,92,1.0,2.0,6.437794490418726,5.420534999272286,1
250.0,1,120.965743,956.019788,144.0,7.1,4760,1011,10.0,6.0,6.863824068355173,5.5254529391317835,1
215.0,1,89.866276,752.215857,136.0,6.5,6586,808,1.0,2.0,6.624351849402601,5.375278407684165,1
200.0,1,37.668301,310.66954,140.0,6.2,1398,1083,12.0,6.0,5.741943459829417,5.303304908059076,1
250.0,2,94.370564,958.4,161.0,7.6,4524,1011,11.0,1.0,6.866308089067964,5.5254529391317835,1
180.0,2,42.990906,372.234864,113.0,5.8,1303,190,4.0,3.0,5.922207883688141,5.198497031265826,1
207.0,2,61.22601,550.0,187.0,6.6,2337,1011,1.0,2.0,6.311734809152915,5.337538079701318,0
200.0,7,100.025899,1845.034188,194.0,7.5,7562,525,1.0,2.0,7.52079493493464,5.303304908059076,1
250.0,2,198.372395,1153.304495,147.0,7.1,7241,72,1.0,2.0,7.051253272748258,5.5254529391317835,1
209.0,17,64.928382,303.025485,131.0,5.5,2114,1003,11.0,6.0,5.717111530129338,5.3471075307174685,0
150.0,1,418.708552,1513.52881,124.0,6.5,8662,219,9.0,6.0,7.322859653066157,5.017279836814924,1
200.0,1,93.004993,1108.561013,143.0,6.9,7604,1160,1.0,2.0,7.01171973229826,5.303304908059076,1
200.0,1,35.149586,783.766341,127.0,6.7,4321,1163,1.0,2.0,6.665386018697363,5.303304908059076,1
200.0,1,77.68208,1215.439994,130.0,6.8,8806,1189,1.0,2.0,7.103683834249883,5.303304908059076,1
200.0,8,78.530105,1025.49111,108.0,6.4,4645,1297,3.0,2.0,6.933901575924652,5.303304908059076,1
210.0,2,3.857526,459.359555,104.0,6.3,3525,139,1.0,2.0,6.132007825465015,5.351858133476067,0
200.0,3,89.186492,743.559607,104.0,7.0,3528,245,1.0,2.0,6.6127929120488,5.303304908059076,0
150.0,16,21.939663,836.297228,150.0,6.0,3138,859,1.0,2.0,6.730179118563559,5.017279836814924,1
210.0,16,116.840296,1091.405097,165.0,5.8,3095,859,1.0,2.0,6.996137055461971,5.351858133476067,1
200.0,9,46.985445,491.868548,130.0,5.7,3530,1163,7.0,2.0,6.200242501571911,5.303304908059076,1
200.0,1,89.270217,705.717432,142.0,6.5,4179,808,1.0,2.0,6.560630914153591,5.303304908059076,1
170.0,2,73.79505,400.062763,125.0,6.3,2841,689,10.0,1.0,5.994117931268661,5.14166355650266,1
200.0,3,49.98659,559.852396,106.0,5.8,2033,635,11.0,6.0,6.329457762169118,5.303304908059076,1
200.0,2,51.872839,219.851172,114.0,5.1,2487,832,1.0,2.0,5.397489044797755,5.303304908059076,1
200.0,3,59.995418,1066.969703,103.0,7.6,4597,769,1.0,2.0,6.973514651140233,5.303304908059076,1
200.0,1,71.862892,371.353001,115.0,5.9,2463,848,1.0,2.0,5.9198423317455005,5.303304908059076,1
190.0,1,102.322217,1506.24936,137.0,7.3,4176,540,1.0,6.0,7.318041652755061,5.25227342804663,1
200.0,1,81.834855,531.865,116.0,6.7,5560,806,1.0,2.0,6.278268108782148,5.303304908059076,1
250.0,1,118.078691,747.862775,131.0,7.5,6032,152,1.0,2.0,6.618555755784113,5.5254529391317835,1
